date,puppet,community
2021-06-27,0,1
2021-06-28,2,4
2021-06-29,0,4
2021-06-30,1,1
2021-07-01,3,4
2021-07-02,0,2
2021-07-03,0,1
2021-07-04,0,0
2021-07-05,8,1
2021-07-06,1,4
2021-07-07,0,0
2021-07-08,3,3
2021-07-09,1,1
2021-07-10,0,2
2021-07-11,0,0
2021-07-12,0,2
2021-07-13,2,2
2021-07-14,0,0
2021-07-15,2,0
2021-07-16,2,2
2021-07-17,0,1
